site_key,domain,category_labels,platform,access_profile,cdn,crawl_delay,sitemap_kind,status,est_urls,earliest_year,est_days,wave,exclusion_reason,shared_with,universities,tabs,source_rows,sample_url,notes,workbook_done
,theoccidentalnews.com,Liberal Arts,wordpress,open,sucuri,,yoast,recon_done,10066,2014,0.7,,,,Occidental College,Liberal Arts,Liberal Arts:37,https://theoccidentalnews.com/,,
,skidmorenews.com,Liberal Arts,unknown,open,none,,single,recon_done,5819,,0.4,,,,Skidmore College,Liberal Arts,Liberal Arts:40,https://skidmorenews.com/,,
,libguides.soka.edu,Liberal Arts,unknown,waf_browser_ua,none,10.0,,recon_done,,,,,,,Soka Univeristy of America,Liberal Arts,Liberal Arts:41,https://libguides.soka.edu/pearl/home,,
,spelmanblueprint.com,Liberal Arts,unknown,,,,,recon_done,,,,,,,Spelman College,Liberal Arts,Liberal Arts:42,https://spelmanblueprint.com/,,
,trinitytripod.com,Liberal Arts,wordpress,open,none,,wp_core,recon_done,3976,,0.3,,,,Trinity College,Liberal Arts,Liberal Arts:43,https://trinitytripod.com/,,
,trinitonian.com,Liberal Arts,sno,cloudflare,cloudflare,,yoast,recon_done,8018,2025,1.1,,,,Trinity University,Liberal Arts,Liberal Arts:44,https://trinitonian.com/,,
union,concordiensis.com,Liberal Arts,sno,,,,,configured,,,,1,,Union Univeristy,Union College | Union Univeristy,Christian Colleges | Liberal Arts,Liberal Arts:45 | Christian Colleges:11,https://concordiensis.com/,"Christian row 11 ""Union Univeristy"" links this paper, but Concordiensis is Union College (NY); Union University (TN) still needs its own paper URL",
,pinnacle.berea.edu,Liberal Arts,wordpress,cloudflare,cloudflare,10.0,wp_core,recon_done,879,2013,0.1,,,,Berea College,Liberal Arts,Liberal Arts:46,https://pinnacle.berea.edu/,,
,thedickinsonian.com,Liberal Arts,sno,cloudflare,cloudflare,,wp_core,recon_done,4862,2015,0.7,,,,Dickinson College,Liberal Arts,Liberal Arts:47,https://thedickinsonian.com/,,
,thepaladin.news,Liberal Arts,sno,cloudflare,cloudflare,6.0,yoast,recon_done,2818,2014,0.4,,,,Furman Univeristy,Liberal Arts,Liberal Arts:48,https://thepaladin.news/,,
,kenyoncollegian.com,Liberal Arts,unknown,waf_browser_ua,none,,,recon_done,,,,,,,Kenyon College,Liberal Arts,Liberal Arts:49,https://kenyoncollegian.com/,,
,thesewaneepurple.org,Liberal Arts,wordpress,open,none,,other,recon_done,,,,,,,The Univeristy of the South,Liberal Arts,Liberal Arts:50,https://thesewaneepurple.org/,,
,thecollegevoice.org,Liberal Arts,wordpress,open,none,,wp_core,recon_done,4320,2011,0.3,,,,Connecticut College,Liberal Arts,Liberal Arts:51,https://thecollegevoice.org/,,
,hillsdalecollegian.com,Liberal Arts,wordpress,open,none,,yoast,recon_done,15692,2021,1.1,,,,Hillsdale College,Liberal Arts,Liberal Arts:52,https://hillsdalecollegian.com/,,
